Number,Date,Flight number,From,To,Distance,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number
562,03/01/2017,1537,Chicago / O'Hare (ORD/KORD),Philadelphia / Philadelphia (PHL/KPHL),677,07:36:00,10:36:00,02:00:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N993AN,15F
561,02/25/2017,762,Atlanta / Hartsfield-Jackson (ATL/KATL),Chicago / Chicago Midway (MDW/KMDW),592,17:06:00,17:33:00,01:27:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N958AT,14A
560,02/25/2017,1161,Dayton / James M Cox Dayton (DAY/KDAY),Atlanta / Hartsfield-Jackson (ATL/KATL),434,14:36:00,15:53:00,01:17:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-90 (MD90),N911DA,17A
559,02/25/2017,3546,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Dayton / James M Cox Dayton (DAY/KDAY),166,12:45:00,13:18:00,00:33:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N461SW,2A
558,02/25/2017,4443,Chicago / Chicago Midway (MDW/KMDW),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),228,09:23:00,11:14:00,00:51:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-900 (CRJ9),N807SK,8A
557,02/21/2017,5857,Dayton / James M Cox Dayton (DAY/KDAY),Chicago / O'Hare (ORD/KORD),240,18:09:00,17:52:00,00:43:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N119SY,9C
556,02/21/2017,4474,Chicago / O'Hare (ORD/KORD),Dayton / James M Cox Dayton (DAY/KDAY),240,14:28:00,16:08:00,00:40:00,GoJet Airlines (G7/GJS),Bombardier CRJ-700 (CRJ7),N168GJ,8D
555,02/20/2017,604,Flint / Bishop (FNT/KFNT),Chicago / Chicago Midway (MDW/KMDW),220,17:54:00,17:48:00,00:54:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N405WN,22F
554,02/20/2017,799,Chicago / Chicago Midway (MDW/KMDW),Flint / Bishop (FNT/KFNT),220,15:11:00,16:45:00,00:34:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N405WN,23A
553,02/20/2017,1586,Dayton / James M Cox Dayton (DAY/KDAY),Chicago / Chicago Midway (MDW/KMDW),226,13:44:00,13:32:00,00:48:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N7709A,18A
552,02/20/2017,660,Chicago / Chicago Midway (MDW/KMDW),Dayton / James M Cox Dayton (DAY/KDAY),226,11:10:00,12:55:00,00:45:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N7709A,14F
551,02/18/2017,670,Seattle / Seattle-Tacoma (SEA/KSEA),Chicago / O'Hare (ORD/KORD),1718,14:07:00,19:22:00,03:15:00,United Airlines (UA/UAL),Boeing 737-900 (B739),N37474,8F
